snr,seed,method,test_mse
0.1,0,concat,0.16558808088302612
0.1,0,film,0.16740939021110535
0.1,1,concat,0.20575352013111115
0.1,1,film,0.20727716386318207
0.1,2,concat,0.21051377058029175
0.1,2,film,0.2059163600206375
0.1,3,concat,0.17178986966609955
0.1,3,film,0.17449425160884857
0.1,4,concat,0.24200378358364105
0.1,4,film,0.24529461562633514
0.3,0,concat,0.16551467776298523
0.3,0,film,0.1676836609840393
0.3,1,concat,0.2058345228433609
0.3,1,film,0.2062801569700241
0.3,2,concat,0.2069520205259323
0.3,2,film,0.20327915251255035
0.3,3,concat,0.1725415140390396
0.3,3,film,0.17240799963474274
0.3,4,concat,0.24313530325889587
0.3,4,film,0.2435690462589264
0.5,0,concat,0.16612866520881653
0.5,0,film,0.16696637868881226
0.5,1,concat,0.2063402235507965
0.5,1,film,0.2066076397895813
0.5,2,concat,0.20635148882865906
0.5,2,film,0.20235583186149597
0.5,3,concat,0.17206628620624542
0.5,3,film,0.17194843292236328
0.5,4,concat,0.24411548674106598
0.5,4,film,0.24270306527614594
1.0,0,concat,0.16731998324394226
1.0,0,film,0.16889764368534088
1.0,1,concat,0.20601603388786316
1.0,1,film,0.20775723457336426
1.0,2,concat,0.20602628588676453
1.0,2,film,0.20128199458122253
1.0,3,concat,0.17248064279556274
1.0,3,film,0.17305676639080048
1.0,4,concat,0.2424357682466507
1.0,4,film,0.23810945451259613
2.0,0,concat,0.16713964939117432
2.0,0,film,0.16848981380462646
2.0,1,concat,0.20609904825687408
2.0,1,film,0.20745040476322174
2.0,2,concat,0.2061333954334259
2.0,2,film,0.20152601599693298
2.0,3,concat,0.17260447144508362
2.0,3,film,0.17705802619457245
2.0,4,concat,0.24193093180656433
2.0,4,film,0.23672007024288177
3.0,0,concat,0.16701114177703857
3.0,0,film,0.16739100217819214
3.0,1,concat,0.2060585767030716
3.0,1,film,0.20702029764652252
3.0,2,concat,0.2062361091375351
3.0,2,film,0.2019300013780594
3.0,3,concat,0.1728566437959671
3.0,3,film,0.17707394063472748
3.0,4,concat,0.24152052402496338
3.0,4,film,0.23715418577194214
5.0,0,concat,0.16687311232089996
5.0,0,film,0.16694889962673187
5.0,1,concat,0.20594309270381927
5.0,1,film,0.2066698670387268
5.0,2,concat,0.20644201338291168
5.0,2,film,0.20225465297698975
5.0,3,concat,0.17383970320224762
5.0,3,film,0.17817455530166626
5.0,4,concat,0.241340771317482
5.0,4,film,0.23655156791210175
10.0,0,concat,0.1667879819869995
10.0,0,film,0.16391713917255402
10.0,1,concat,0.2055450826883316
10.0,1,film,0.20653513073921204
10.0,2,concat,0.20674045383930206
10.0,2,film,0.202590212225914
10.0,3,concat,0.17391932010650635
10.0,3,film,0.17838703095912933
10.0,4,concat,0.24128195643424988
10.0,4,film,0.23424804210662842
30.0,0,concat,0.16744846105575562
30.0,0,film,0.1632699966430664
30.0,1,concat,0.20512977242469788
30.0,1,film,0.2068161517381668
30.0,2,concat,0.20709387958049774
30.0,2,film,0.2032843679189682
30.0,3,concat,0.17367060482501984
30.0,3,film,0.17869511246681213
30.0,4,concat,0.24170474708080292
30.0,4,film,0.2336236983537674
100.0,0,concat,0.16746032238006592
100.0,0,film,0.16374324262142181
100.0,1,concat,0.20491302013397217
100.0,1,film,0.2070174217224121
100.0,2,concat,0.20727528631687164
100.0,2,film,0.20259235799312592
100.0,3,concat,0.1735481470823288
100.0,3,film,0.17900137603282928
100.0,4,concat,0.24204060435295105
100.0,4,film,0.23374073207378387
