epochs,seed,model_kind,vs,t,p,n
3,7,concat_a:binned_intensity_only,concat_a,-2.617194746136376,0.010285083052531176,98
3,7,concat_a:intensity_only,concat_a,-2.5159201937941695,0.013514127686996925,98
3,7,concat_a:no_intensity,concat_a,-3.3880338437553794,0.001018534086526462,98
3,7,concat_a:shuffled_intensity,concat_a,-1.6469397972343272,0.10280649652206401,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,17,concat_a:binned_intensity_only,concat_a,-2.1365225992321175,0.03515289840698922,98
3,17,concat_a:intensity_only,concat_a,-2.2160984367212664,0.0290224323941259,98
3,17,concat_a:no_intensity,concat_a,-2.8243878868781453,0.005750278208331943,98
3,17,concat_a:shuffled_intensity,concat_a,-1.611437758221576,0.11033363015870165,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,27,concat_a:binned_intensity_only,concat_a,-0.38660587139759284,0.6998948044648483,98
3,27,concat_a:intensity_only,concat_a,-0.3713218156153906,0.7112076602987052,98
3,27,concat_a:no_intensity,concat_a,-1.8630051748496421,0.06548741335399001,98
3,27,concat_a:shuffled_intensity,concat_a,-0.42245390883699063,0.6736287028877517,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,7,concat_a:binned_intensity_only,static,0.9592012060316115,0.3398422023087271,98
3,7,concat_a:intensity_only,static,1.008459968103223,0.31574272334288617,98
3,7,concat_a:no_intensity,static,1.1047317894673043,0.27200859880895256,98
3,7,concat_a:shuffled_intensity,static,1.2808519870018307,0.20329965999623675,98
3,17,concat_a:binned_intensity_only,static,-0.6651838836086555,0.5075114156879347,98
3,17,concat_a:intensity_only,static,-0.8255872421260217,0.4110641626324778,98
3,17,concat_a:no_intensity,static,-0.13601046750285706,0.8920948766729673,98
3,17,concat_a:shuffled_intensity,static,0.5030493514382384,0.6160699257361679,98
3,27,concat_a:binned_intensity_only,static,-1.1974867516006686,0.2340350133061798,98
3,27,concat_a:intensity_only,static,-1.1772819465237279,0.24196361934015181,98
3,27,concat_a:no_intensity,static,-1.2704445361663983,0.20696509866882598,98
3,27,concat_a:shuffled_intensity,static,-1.1643152843366507,0.24715195174072968,98
