ic,icir,mae,param_count,tau_last_mean,market_shift_mean,pe_scale_mean,alpha_mean,fusion_gate_mean,context_gate_mean,bias_abs_mean,qk_abs_mean,bias_to_qk_ratio,tau_dev_std_mean,step_dev_std_mean,tau_corr_mean,step_intensity_spearman_mean,tau_swap_delta_mean,pred_swap_delta_mean,bias_swap_delta_mean,attn_swap_delta_mean,qk_swap_delta_mean,rand_attn_swap_delta_mean,rand_qk_swap_delta_mean,attn_topk_delta_mean,attn_kl_mean,epochs,seed,model_kind,index_symbol,start,end,ensemble_alpha,ensemble_val_ic,pair_model,single_a,single_b,interaction_gain_max,interaction_gap_to_pair
0.0713465743575086,0.2641216615130136,0.007273167095062727,45266.0,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.05803767660910518,0.22452631927650038,0.007410646675925517,45234.0,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:indexret_only,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.07339500141101732,0.27352082289421875,0.007248994212655811,45266.0,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:intensity_indexret,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.014073783359497641,0.05513849316578877,0.007455135111609702,45234.0,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:intensity_only,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.0558365378764518,0.21827660215075795,0.007351546004624814,45234.0,,,,,,,,,,,,,,,,,,,,,,,3,7,concat_a:position_only,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.052974882260596545,0.2120109449548533,0.007389676215327863,,,,,,,,,,,,,,,,,,,,,,,,3,7,interaction:intensity+indexret,^GSPC,2022-01-01,2024-12-31,0.25,-0.030572998430141288,concat_a:intensity_indexret,concat_a:intensity_only,concat_a:indexret_only,-0.005062794348508634,0.020420119150420774
0.05662480376766092,0.2225325469712992,0.007349188991424347,,,,,,,,,,,,,,,,,,,,,,,,3,7,interaction:intensity+position,^GSPC,2022-01-01,2024-12-31,0.05,-0.02564364207221351,concat_a,concat_a:intensity_only,concat_a:position_only,0.0007882658912091237,0.01472177058984768
-0.011428571428571425,-0.047063653745941667,0.007236244960912565,45202.0,,,,,,,,,,,,,,,,,,,,,,,3,7,static,^GSPC,2022-01-01,2024-12-31,,,,,,,
0.03069858712715855,0.13260728304434602,0.007636617251661164,45266.0,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a,^GSPC,2022-01-01,2024-12-31,,,,,,,
-0.05356357927786499,-0.1915414535529507,0.007193792776322541,45234.0,,,,,,,,,,,,,,,,,,,,,,,3,17,concat_a:indexret_only,^GSPC,2022-01-01,2024-12-31,,,,,,,
