epochs,seed,model_kind,vs,t,p,n
3,7,concat_a:indexret_only,concat_a,-0.4195519159720609,0.6757405756735289,98
3,7,concat_a:intensity_indexret,concat_a,0.48409091224014017,0.6294125273028562,98
3,7,concat_a:intensity_only,concat_a,-2.5159201937941695,0.013514127686996925,98
3,7,concat_a:position_only,concat_a,-0.5017909437254074,0.6169516551900719,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,17,concat_a:indexret_only,concat_a,-2.2568282397995807,0.02626259626202678,98
3,17,concat_a:intensity_indexret,concat_a,0.8486625966120454,0.39815856014081497,98
3,17,concat_a:intensity_only,concat_a,-2.2160984367212664,0.0290224323941259,98
3,17,concat_a:position_only,concat_a,-2.2379621070426303,0.027510962184017,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,27,concat_a:indexret_only,concat_a,-0.3978352556631998,0.6916258262402564,98
3,27,concat_a:intensity_indexret,concat_a,0.7845623176235933,0.43462210158058723,98
3,27,concat_a:intensity_only,concat_a,-0.3713218156153906,0.7112076602987052,98
3,27,concat_a:position_only,concat_a,-0.5219484284111336,0.6028961077294546,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,7,concat_a:indexret_only,static,1.631325756523114,0.10606428317505587,98
3,7,concat_a:intensity_indexret,static,2.6120190732709694,0.010431476245755595,98
3,7,concat_a:intensity_only,static,1.008459968103223,0.31574272334288617,98
3,7,concat_a:position_only,static,1.608724645425093,0.11092659415300649,98
3,17,concat_a:indexret_only,static,-0.9194552776499875,0.36013833469166157,98
3,17,concat_a:intensity_indexret,static,2.336949898062926,0.02149831014969347,98
3,17,concat_a:intensity_only,static,-0.8255872421260217,0.4110641626324778,98
3,17,concat_a:position_only,static,-0.8824566047814947,0.37971160602533716,98
3,27,concat_a:indexret_only,static,-1.127922763374095,0.26213471698266094,98
3,27,concat_a:intensity_indexret,static,-0.26286427944852575,0.7932127038376746,98
3,27,concat_a:intensity_only,static,-1.1772819465237279,0.24196361934015181,98
3,27,concat_a:position_only,static,-1.3262194027544636,0.1878813303244553,98
