epochs,seed,model_kind,vs,t,p,n
3,7,concat_a:intensity_only,concat_a,-2.5159201937941695,0.013514127686996925,98
3,7,cycle_pe:intensity_embed,concat_a,-0.8842273604029726,0.3787599522626819,98
3,7,cycle_pe:intensity_only,concat_a,-3.3471002347201386,0.0011631522774340724,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,17,concat_a:intensity_only,concat_a,-2.2160984367212664,0.0290224323941259,98
3,17,cycle_pe:intensity_embed,concat_a,-2.229637133067089,0.028078154552528267,98
3,17,cycle_pe:intensity_only,concat_a,-1.8683715897378603,0.06472839623171664,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,27,concat_a:intensity_only,concat_a,-0.3713218156153906,0.7112076602987052,98
3,27,cycle_pe:intensity_embed,concat_a,-1.2218432096072251,0.22472795569203308,98
3,27,cycle_pe:intensity_only,concat_a,-1.9020294434351963,0.06013420994811952,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,7,concat_a:intensity_only,static,1.008459968103223,0.31574272334288617,98
3,7,cycle_pe:intensity_embed,static,0.991571101185585,0.32387387213049446,98
3,7,cycle_pe:intensity_only,static,-1.1861965908221273,0.23844205347640632,98
3,17,concat_a:intensity_only,static,-0.8255872421260217,0.4110641626324778,98
3,17,cycle_pe:intensity_embed,static,-0.39215284296738134,0.6958055914967013,98
3,17,cycle_pe:intensity_only,static,0.05274619188782728,0.958042610420721,98
3,27,concat_a:intensity_only,static,-1.1772819465237279,0.24196361934015181,98
3,27,cycle_pe:intensity_embed,static,-1.9993887797068113,0.0483636280275365,98
3,27,cycle_pe:intensity_only,static,-1.9511167265022296,0.05392829736466841,98
