model_kind,model_label,term,coef,t_value,p_value,index_symbol,indexret_spec,horizon
model0,Model 0,const,0.0011331301289566166,2.1871514120355267,0.028731472526479916,^GSPC,ret1,5
model1,Model 1,const,0.0019220993837931384,2.5669901241168347,0.010258553409573892,^GSPC,ret1,5
model1,Model 1,bear,-0.0011172290140238226,-0.6552746058730082,0.5122909675073377,^GSPC,ret1,5
model1,Model 1,intensity,-0.001097251017919007,-0.663544393479289,0.5069819572854604,^GSPC,ret1,5
model2,Model 2,const,0.0012244178292535259,1.7413609292683645,0.08162033226447088,^GSPC,ret1,5
model2,Model 2,bear,0.004673363982205541,1.1837720726166163,0.23650330009946385,^GSPC,ret1,5
model2,Model 2,intensity,0.0006171803213345566,0.39378363217698137,0.6937407897165694,^GSPC,ret1,5
model2,Model 2,bear_x_intensity,-0.00900184748587239,-1.6836658271480525,0.09224626912405781,^GSPC,ret1,5
model3,Model 3,const,0.003934972624508984,2.260914519776106,0.02376455082798875,^GSPC,ret1,5
model3,Model 3,position,-0.03870437862885253,-1.7623877135243196,0.07800381309112862,^GSPC,ret1,5
model3,Model 3,intensity,-0.004130289771453128,-1.6915578377706584,0.0907303112050842,^GSPC,ret1,5
model3,Model 3,position_x_intensity,0.07687124589327024,2.2915021568160285,0.021934387272135567,^GSPC,ret1,5
model4,Model 4,const,0.0036840320570361565,2.1175986223256302,0.03420907496158924,^GSPC,ret1,5
model4,Model 4,position,-0.03383401120745527,-1.5320899187013415,0.12550024715236152,^GSPC,ret1,5
model4,Model 4,intensity,-0.003808765298250179,-1.5629072500512948,0.11807441213435456,^GSPC,ret1,5
model4,Model 4,position_x_intensity,0.0728324813268683,2.173790810347118,0.029720849000835253,^GSPC,ret1,5
model4,Model 4,indexret,-0.2146042631915361,-3.8831923464052047,0.00010309395060270674,^GSPC,ret1,5
model4,Model 4,intensity_x_indexret,0.1701957375660999,2.379809877284669,0.01732157241203475,^GSPC,ret1,5
model2_vix,Model 2V,const,0.001393116865539262,1.954210581732938,0.05067631840957483,^GSPC,ret1,5
model2_vix,Model 2V,bear,0.0042376295340839365,1.0483334537623996,0.2944850016138344,^GSPC,ret1,5
model2_vix,Model 2V,vix_proxy,0.00019975369636536175,0.12557699440404552,0.9000667745770792,^GSPC,ret1,5
model2_vix,Model 2V,bear_x_vix,-0.00827277315956838,-1.4998411332003065,0.13365555953306318,^GSPC,ret1,5
