epochs,seed,model_kind,vs,t,p,n
1,7,learned_tau_rope,concat_a,0.2981873555973734,0.7661979617753356,98
1,7,static,concat_a,-2.356317224203267,0.020468218949122964,98
1,7,tau_rope,concat_a,-0.5928362138211563,0.5546704010931246,98
1,17,learned_tau_rope,concat_a,-1.6205572102928,0.10835914665770201,98
1,17,static,concat_a,-0.7884502323029601,0.43235611195857004,98
1,17,tau_rope,concat_a,-1.988423212918246,0.04958277052631566,98
1,27,learned_tau_rope,concat_a,-0.9934470803710855,0.32296390150338583,98
1,27,static,concat_a,-0.24343781423975158,0.8081803431843093,98
1,27,tau_rope,concat_a,-0.8020959414290438,0.42445817899463567,98
1,7,learned_tau_rope,static,1.773059029138684,0.07935780697110716,98
1,7,tau_rope,static,1.6814156242665974,0.09589935048781961,98
1,17,learned_tau_rope,static,-1.4024948966935906,0.16395992726616707,98
1,17,tau_rope,static,-1.8392535060353543,0.06893684673332513,98
1,27,learned_tau_rope,static,0.06915458218888218,0.9450089365897953,98
1,27,tau_rope,static,-0.4037861690306127,0.6872587694830068,98
3,7,learned_tau_rope,concat_a,-3.6875244025672647,0.00037342675750489323,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,7,tau_rope,concat_a,-0.20666068122730114,0.8367080484678489,98
3,17,learned_tau_rope,concat_a,1.2578248303249642,0.21147473687612803,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,17,tau_rope,concat_a,-2.213249350753767,0.029224645132737485,98
3,27,learned_tau_rope,concat_a,-2.8367468312870883,0.0055489502686312175,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,27,tau_rope,concat_a,-0.6942421095737735,0.48918979075140046,98
3,7,learned_tau_rope,static,-2.7081871394236163,0.007997197679948479,98
3,7,tau_rope,static,1.9792771948590964,0.05061954664783315,98
3,17,learned_tau_rope,static,2.584761524278938,0.011233967942873279,98
3,17,tau_rope,static,0.2669847357090796,0.7900477035209692,98
3,27,learned_tau_rope,static,-2.4320316947925065,0.01684852866168122,98
3,27,tau_rope,static,-0.9673658770606945,0.3357669411766814,98
