epochs,seed,model_kind,vs,t,p,n
1,7,learned_tau_rope,concat_a,0.2880018487861298,0.7739597859454208,98
1,7,static,concat_a,-2.356317224203267,0.020468218949122964,98
1,7,tau_rope,concat_a,-0.5928362138211563,0.5546704010931246,98
1,17,learned_tau_rope,concat_a,-1.7710779334611293,0.07968872574133089,98
1,17,static,concat_a,-0.7884502323029601,0.43235611195857004,98
1,17,tau_rope,concat_a,-1.988423212918246,0.04958277052631566,98
1,27,learned_tau_rope,concat_a,-1.2263074451848233,0.22305161622379663,98
1,27,static,concat_a,-0.24343781423975158,0.8081803431843093,98
1,27,tau_rope,concat_a,-0.8020959414290438,0.42445817899463567,98
1,7,learned_tau_rope,static,1.7952608379845754,0.07572629602832187,98
1,7,tau_rope,static,1.6814156242665974,0.09589935048781961,98
1,17,learned_tau_rope,static,-1.5710837463730847,0.11941956787002575,98
1,17,tau_rope,static,-1.8392535060353543,0.06893684673332513,98
1,27,learned_tau_rope,static,0.024643904616226984,0.9803896261040796,98
1,27,tau_rope,static,-0.4037861690306127,0.6872587694830068,98
3,7,learned_tau_rope,concat_a,-2.403735505042498,0.018128535168541605,98
3,7,static,concat_a,-2.600533036593069,0.010763103277355296,98
3,7,tau_rope,concat_a,-0.20666068122730114,0.8367080484678489,98
3,17,learned_tau_rope,concat_a,0.43881314227145035,0.6617728025520494,98
3,17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
3,17,tau_rope,concat_a,-2.213249350753767,0.029224645132737485,98
3,27,learned_tau_rope,concat_a,-0.47734378187878285,0.6341911399665585,98
3,27,static,concat_a,0.3178558422156708,0.751277551416669,98
3,27,tau_rope,concat_a,-0.6942421095737735,0.48918979075140046,98
3,7,learned_tau_rope,static,1.2506345008546698,0.2140762407722873,98
3,7,tau_rope,static,1.9792771948590964,0.05061954664783315,98
3,17,learned_tau_rope,static,2.145071405144494,0.034444442999741774,98
3,17,tau_rope,static,0.2669847357090796,0.7900477035209692,98
3,27,learned_tau_rope,static,-0.7703722025042268,0.44295138801454526,98
3,27,tau_rope,static,-0.9673658770606945,0.3357669411766814,98
