epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_lambda,train_geom_qk,train_geom_attn,train_ord_lambda,train_ord_loss,train_ord_d1,train_ord_d2,train_ord_d3,train_ord_qk_d1,train_ord_qk_d2,train_ord_qk_d3,train_ord_gap12,train_ord_gap23,train_ord_qk_gap12,train_ord_qk_gap23,train_ord_order_rate,train_ord_margin_rate,train_ord_active_frac,train_ord_qk_order_rate,train_ord_qk_margin_rate,train_ord_qk_active_frac,train_ord_perturb_l2_1,train_ord_perturb_l2_2,train_ord_perturb_l2_3,train_ord_pred_d1,train_ord_pred_d2,train_ord_pred_d3,train_ord_fused_d1,train_ord_fused_d2,train_ord_fused_d3,train_ord_global_d1,train_ord_global_d2,train_ord_global_d3,train_ord_local_d1,train_ord_local_d2,train_ord_local_d3,train_ord_qk_pred_corr,train_ord_qk_fused_corr,train_ord_qk_global_corr,train_ord_qk_local_corr,train_tau_grad_norm,val_ic,val_icir,val_mae
1,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
1,7,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.016684155598388786,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001789638932496074,-0.007685636225628847,0.013940181789654737
1,7,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.006396261590076468,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018587127158555723,-0.07241217118237166,0.011693482417521297
1,17,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.004540844489249688,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03183673469387756,-0.12398359665681691,0.008646988505476879
1,17,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.05693742675172813,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009175824175824174,-0.03656911186221661,0.031201240847695697
1,17,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.005312991847591862,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015439560439560442,0.0620417588063597,0.027496806692007637
1,27,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.002027637485696993,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010486656200941913,-0.039886557711453385,0.008294167671358212
1,27,shape_signature_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.014630866974879553,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017182103610675042,-0.06503369840860442,0.033831637366618504
1,27,simple_summary_token:global_only,^GSPC,2022-01-01,2024-12-31,1,0.0307031661826703,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034073783359497636,0.1313516558569731,0.039088486043183455
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
