epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_lambda,train_geom_qk,train_geom_attn,train_ord_lambda,train_ord_loss,train_ord_d1,train_ord_d2,train_ord_d3,train_ord_qk_d1,train_ord_qk_d2,train_ord_qk_d3,train_ord_gap12,train_ord_gap23,train_ord_qk_gap12,train_ord_qk_gap23,train_ord_order_rate,train_ord_margin_rate,train_ord_active_frac,train_ord_qk_order_rate,train_ord_qk_margin_rate,train_ord_qk_active_frac,train_ord_perturb_l2_1,train_ord_perturb_l2_2,train_ord_perturb_l2_3,train_ord_pred_d1,train_ord_pred_d2,train_ord_pred_d3,train_ord_fused_d1,train_ord_fused_d2,train_ord_fused_d3,train_ord_global_d1,train_ord_global_d2,train_ord_global_d3,train_ord_local_d1,train_ord_local_d2,train_ord_local_d3,train_ord_qk_pred_corr,train_ord_qk_fused_corr,train_ord_qk_global_corr,train_ord_qk_local_corr,train_tau_grad_norm,val_ic,val_icir,val_mae
1,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
1,7,shape_signature_token,^GSPC,2022-01-01,2024-12-31,1,0.005039949635177733,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176138147566719,0.06942107947607055,0.02155275207448549
1,7,simple_summary_token,^GSPC,2022-01-01,2024-12-31,1,0.0035664237592994957,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012448979591836737,-0.048398310630985285,0.020511407642813204
1,17,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.004540844489249688,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03183673469387756,-0.12398359665681691,0.008646988505476879
1,17,shape_signature_token,^GSPC,2022-01-01,2024-12-31,1,0.020638124722330443,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0330298273155416,-0.12784132385506697,0.01736051125996292
1,17,simple_summary_token,^GSPC,2022-01-01,2024-12-31,1,0.003201845207626583,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012150706436420725,-0.042308981825755855,0.011500342314134286
1,27,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.002027637485696993,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010486656200941913,-0.039886557711453385,0.008294167671358212
1,27,shape_signature_token,^GSPC,2022-01-01,2024-12-31,1,0.005512661148301842,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01689952904238618,-0.06363582934440344,0.01873394680602369
1,27,simple_summary_token,^GSPC,2022-01-01,2024-12-31,1,0.006816462508221391,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03254317111459969,0.1234409123899617,0.032358282759084096
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.00025179703144078433,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02834379905808477,-0.13090348130501728,0.008064239325060545
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.00018379679009831903,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027590266875981165,-0.11865806529790023,0.007653371957816656
