epochs,seed,model_kind,vs,t,p,n
1,7,shape_signature_token,concat_a,-3.1661803702543496,0.0020646251623353392,98
1,7,simple_summary_token,concat_a,-0.7111093478091627,0.47872297739073133,98
1,17,shape_signature_token,concat_a,-0.2163281204397146,0.8291862837540006,98
1,17,simple_summary_token,concat_a,-1.006904036277578,0.3164860843889227,98
1,27,shape_signature_token,concat_a,-1.7957963518074438,0.07564043265415593,98
1,27,simple_summary_token,concat_a,-1.9896469783238222,0.04944542818512608,98
3,7,shape_signature_token,concat_a,-2.1909362524555425,0.030851324995269585,98
3,7,simple_summary_token,concat_a,-3.3197925474870367,0.0012701167542804857,98
3,17,shape_signature_token,concat_a,-0.9039889014888509,0.3682409258486805,98
3,17,simple_summary_token,concat_a,0.4649905050926935,0.642980416077199,98
3,27,shape_signature_token,concat_a,-3.6742607898789634,0.0003908508013502704,98
3,27,simple_summary_token,concat_a,-3.9170536790505683,0.000166837850298686,98
