epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,val_ic,val_icir,val_mae
1,7,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.0008764355024526658,-0.03362637362637362,-0.1572120606622338,0.007308355170845915
1,7,static,^IXIC,2022-01-01,2024-12-31,1,0.0038818247020101946,0.03018053375196232,0.12793447558139,0.009080647904593855
1,7,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.0029757354065013696,-0.04364992150706435,-0.1899395555842072,0.017799295449117937
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.0008764355024526658,-0.03362637362637362,-0.1572120606622338,0.007308355170845915
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,2,0.0002518868461710806,-0.028265306122448985,-0.1330715652783897,0.00793578749543643
3,7,concat_a,^IXIC,2022-01-01,2024-12-31,3,0.0001839666245647867,-0.0333481562955421,-0.14549528368385334,0.007591538037650304
3,7,static,^IXIC,2022-01-01,2024-12-31,1,0.0038818247020101946,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,static,^IXIC,2022-01-01,2024-12-31,2,0.0005297355938252444,0.028390894819466248,0.12136815884358171,0.0074202976267511355
3,7,static,^IXIC,2022-01-01,2024-12-31,3,0.00036413133669393934,0.02488942891840076,0.10930142900530469,0.007452498265655294
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.0029757354065013696,-0.04364992150706435,-0.1899395555842072,0.017799295449117937
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,2,0.0004475008223116137,-0.02859497645211931,-0.11842117334270999,0.007551152444680898
3,7,tau_rope,^IXIC,2022-01-01,2024-12-31,3,0.00022590626746082893,-0.05484301412872841,-0.2152334883416504,0.00735029615536971
