epochs,seed,model_kind,date,daily_ic
3,7,static,2024-08-05,-0.005384615384615384
3,7,static,2024-08-06,-0.17846153846153845
3,7,static,2024-08-07,-0.06692307692307692
3,7,static,2024-08-08,0.02692307692307692
3,7,static,2024-08-09,-0.050769230769230775
3,7,static,2024-08-12,0.2884615384615385
3,7,static,2024-08-13,-0.16076923076923075
3,7,static,2024-08-14,-0.40076923076923077
3,7,static,2024-08-15,-0.3030769230769231
3,7,static,2024-08-16,0.24307692307692308
3,7,static,2024-08-19,-0.37846153846153846
3,7,static,2024-08-20,-0.2123076923076923
3,7,static,2024-08-21,-0.2676923076923077
3,7,static,2024-08-22,0.11384615384615385
3,7,static,2024-08-23,-0.2123076923076923
3,7,static,2024-08-26,-0.15999999999999998
3,7,static,2024-08-27,-0.33615384615384614
3,7,static,2024-08-28,-0.1769230769230769
3,7,static,2024-08-29,0.003846153846153846
3,7,static,2024-08-30,-0.0723076923076923
3,7,static,2024-09-03,-0.13
3,7,static,2024-09-04,-0.15846153846153843
3,7,static,2024-09-05,0.03230769230769231
3,7,static,2024-09-06,0.41000000000000003
3,7,static,2024-09-09,0.13307692307692306
3,7,static,2024-09-10,0.4338461538461538
3,7,static,2024-09-11,0.6415384615384615
3,7,static,2024-09-12,0.022307692307692306
3,7,static,2024-09-13,-0.06230769230769231
3,7,static,2024-09-16,-0.12846153846153846
3,7,static,2024-09-17,-0.15153846153846154
3,7,static,2024-09-18,0.03461538461538462
3,7,static,2024-09-19,-0.11384615384615385
3,7,static,2024-09-20,0.1376923076923077
3,7,static,2024-09-23,-0.15461538461538463
3,7,static,2024-09-24,-0.36846153846153845
3,7,static,2024-09-25,-0.1815384615384615
3,7,static,2024-09-26,0.1446153846153846
3,7,static,2024-09-27,-0.06230769230769231
3,7,static,2024-09-30,-0.16846153846153847
3,7,static,2024-10-01,-0.4015384615384615
3,7,static,2024-10-02,0.3776923076923077
3,7,static,2024-10-03,-0.10615384615384615
3,7,static,2024-10-04,-0.13615384615384615
3,7,static,2024-10-07,0.009999999999999998
3,7,static,2024-10-08,-0.23307692307692307
3,7,static,2024-10-09,-0.16615384615384618
3,7,static,2024-10-10,0.3992307692307692
3,7,static,2024-10-11,0.04461538461538461
3,7,static,2024-10-14,-0.16999999999999998
3,7,static,2024-10-15,-0.17615384615384613
3,7,static,2024-10-16,-0.1446153846153846
3,7,static,2024-10-17,-0.07615384615384616
3,7,static,2024-10-18,-0.23923076923076922
3,7,static,2024-10-21,0.2407692307692308
3,7,static,2024-10-22,0.18692307692307694
3,7,static,2024-10-23,-0.009230769230769232
3,7,static,2024-10-24,0.29615384615384616
3,7,static,2024-10-25,0.06999999999999999
3,7,static,2024-10-28,0.42692307692307696
3,7,static,2024-10-29,0.2976923076923077
3,7,static,2024-10-30,0.09230769230769231
3,7,static,2024-10-31,-0.1815384615384615
3,7,static,2024-11-01,-0.15461538461538463
3,7,static,2024-11-04,-0.3515384615384615
3,7,static,2024-11-05,0.06538461538461539
3,7,static,2024-11-06,0.1746153846153846
3,7,static,2024-11-07,-0.12307692307692307
3,7,static,2024-11-08,-0.3253846153846154
3,7,static,2024-11-11,-0.049999999999999996
3,7,static,2024-11-12,0.18615384615384614
3,7,static,2024-11-13,0.01923076923076923
3,7,static,2024-11-14,-0.14923076923076922
3,7,static,2024-11-15,0.33384615384615385
3,7,static,2024-11-18,0.07538461538461538
3,7,static,2024-11-19,-0.06076923076923077
3,7,static,2024-11-20,0.3823076923076923
3,7,static,2024-11-21,0.4776923076923077
3,7,static,2024-11-22,0.40307692307692305
